magazine,year,pages,num_person_entities,firstname_and_lastname_counter,only_firstname_counter,only_lastname_counter,no_first_or_lastname_counter
tjb,1955_030,"[45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64]",181,144,5,26,6
cmt,1998_076,"[50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69]",73,60,4,8,1
woh,1982_057,"[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20]",39,26,1,8,4
hvg,1960_059,"[78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97]",92,48,4,32,8
rep,1896_008,"[409,410,411,412,413,414,415,416,417,418,419,420,421,422,423,424,425,426,427,428]",13,6,0,5,2
zut,2019_139,"[206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225]",51,20,2,26,3
edu,1897_033,"[175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194]",111,66,9,25,11
gfr,1901_056,"[305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324]",34,8,9,3,14
fsi,1930_000,"[105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124]",42,16,3,17,6
obl,2004_000,"[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20]",89,59,16,8,6
zlp,1948_026,"[75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94]",31,14,11,3,3
,,,,467,64,161,64
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,Vor- und Nachname
,,,,,,,Nur Vorname
,,,,,,,Nur Nachname
,,,,,,,weder noch
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
rejected due to too much of a skew in the other categories.,,,,,,,
toj,1985_012,"[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20]",,,,,
wig,1971_029,"[107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126]",,,,,
